Time:128Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,2358.0769042969,5724.8715820312,1766.5384521484,7523.9746093750,5185.7690429688,8281.6669921875,192.3076782227,5211.2822265625,4423.7177734375,3117.4357910156,1457.9487304688,5561.6665039062,3711.7949218750,7140.0000000000,,,0
0.0078125000,0,3299.7436523438,3098.5898437500,2852.8205566406,594.6153564453,4680.7690429688,7589.1025390625,2554.2307128906,4355.6411132812,1975.2563476562,201.5384521484,6508.5898437500,2463.5898437500,1823.5897216797,8382.8203125000,,,0
0.0156250000,0,811.5384521484,6229.6152343750,431.7948608398,7662.0512695312,4880.6411132812,5825.1284179688,3237.5642089844,2711.9230957031,5832.4360351562,4091.2819824219,3317.6923828125,1782.8205566406,1524.4871826172,5897.6923828125,,,0
0.0234375000,0,137.8205108643,998.9743652344,3200.6411132812,3939.6154785156,1602.4359130859,3245.5129394531,2248.9743652344,6222.3076171875,2224.4870605469,245.2564086914,4335.6411132812,6167.4360351562,456.4102478027,4358.8461914062,,,0
0.0312421000,0,4490.7690429688,540.2564086914,2597.0512695312,2872.3076171875,5559.2309570312,8096.6665039062,6451.9228515625,7319.1025390625,2406.2819824219,2853.4614257812,2399.4870605469,3854.1025390625,8261.9228515625,5825.8974609375,,,0
0.0390546000,0,4703.5898437500,6696.7949218750,1809.3590087891,5389.7436523438,4508.8461914062,8052.3076171875,8152.9487304688,1153.4615478516,8314.1025390625,6999.8715820312,1363.4615478516,1786.4102783203,3421.0256347656,1976.1538085938,,,0
0.0468671000,0,7593.7177734375,7610.8974609375,5131.6665039062,69.7435836792,6516.4101562500,2231.6667480469,7556.0258789062,4713.3334960938,921.6666870117,8162.4360351562,8243.5898437500,2119.3588867188,1605.2563476562,88.8461456299,,,0
0.0546796000,0,3596.6667480469,2215.6411132812,2409.2307128906,8156.2822265625,4448.7177734375,3915.0000000000,8085.6411132812,3104.7436523438,2796.6667480469,5788.7177734375,6684.8715820312,4983.0771484375,257.9486999512,7360.7690429688,,,0
0.0625881000,0,3720.2563476562,4724.4873046875,4175.1284179688,1558.0769042969,3003.3332519531,696.4102783203,6758.4614257812,6370.5126953125,1917.1794433594,3650.5129394531,3775.2563476562,3286.9230957031,3997.1794433594,215.1281890869,,,0
0.0704006000,0,6948.8461914062,2979.3588867188,5340.3847656250,3573.4614257812,2085.0000000000,271.4102478027,8209.4873046875,7267.1796875000,828.8461303711,1257.9487304688,1692.8205566406,3792.3076171875,1091.6666259766,1508.2050781250,,,0
0.0782131000,0,5044.7436523438,3166.9230957031,6163.8461914062,6622.8203125000,1678.7178955078,3400.2563476562,7653.9746093750,6580.8974609375,1793.5897216797,1893.4615478516,3666.5385742188,7567.1796875000,7052.6923828125,3401.9230957031,,,0
0.0860256000,0,6104.8715820312,1150.8974609375,3684.6154785156,4143.2050781250,8001.0258789062,413.2051086426,3693.9743652344,357.5640869141,3498.2050781250,6866.0258789062,7268.4614257812,8228.9746093750,2852.9487304688,5654.7436523438,,,0
0.0939013000,0,6756.7949218750,1026.6666259766,4628.5898437500,6273.0771484375,6223.5898437500,5627.5639648438,6177.5639648438,6210.6411132812,5796.2822265625,619.2307739258,5701.1538085938,3043.2050781250,2046.6666259766,4714.2309570312,,,0
0.1017138000,0,6791.2822265625,159.8717803955,5372.5639648438,6863.3334960938,3020.8974609375,5364.1025390625,7462.0512695312,157.0512695312,1782.6922607422,6618.5898437500,217.8205108643,5434.3588867188,1462.8205566406,525.2564086914,,,0
0.1095263000,0,6258.3334960938,5082.6923828125,2491.9230957031,933.4615478516,5987.0512695312,721.1538085938,2683.5898437500,1500.7691650391,1921.4102783203,6561.2822265625,7751.2822265625,2306.2819824219,1996.0256347656,5685.0000000000,,,0
0.1173388000,0,3787.8205566406,7716.6665039062,5120.0000000000,4245.3847656250,6365.1284179688,5254.3588867188,3743.4614257812,1572.0512695312,4032.1794433594,7888.9746093750,5371.9228515625,2376.4101562500,3247.0512695312,3313.8461914062,,,0
0.1250239000,0,3687.5642089844,7747.5639648438,143.3333282471,7641.0258789062,6483.2050781250,4745.6411132812,3054.7436523438,1380.2563476562,3065.0000000000,978.9743652344,4596.1538085938,146.0256347656,7048.9741210938,674.7435913086,,,0
0.1328364000,0,7906.0258789062,5278.5898437500,8104.3588867188,2820.3845214844,2428.8461914062,7895.3847656250,3837.1794433594,5226.7949218750,7994.1025390625,6820.1284179688,1662.3077392578,6132.4360351562,6811.2822265625,7657.3076171875,,,0
0.1406489000,0,6796.4101562500,6194.3588867188,8185.6411132812,190.1281890869,1011.0256347656,2507.3076171875,1953.4615478516,1859.7435302734,2519.8718261719,7184.1025390625,3475.8974609375,5542.8203125000,3544.6154785156,1582.5640869141,,,0
0.1484614000,0,5172.5639648438,3428.3332519531,5230.5126953125,7361.0258789062,6803.0771484375,3548.5898437500,2285.7692871094,1410.0000000000,8017.9487304688,3143.0769042969,4340.0000000000,7837.9487304688,1420.1281738281,977.8204956055,,,0
0.1562353000,0,7190.3847656250,3290.1281738281,5631.9228515625,6901.9228515625,4751.0258789062,4808.5898437500,6467.8203125000,379.6153869629,2446.2819824219,2212.4357910156,5634.6152343750,4618.2050781250,2921.7949218750,627.1795043945,,,0
0.1640478000,0,6850.0000000000,7202.5639648438,8005.0000000000,5950.8974609375,5840.8974609375,7924.3588867188,840.0000000000,5508.5898437500,5431.1538085938,7119.8715820312,8070.7690429688,7889.8715820312,2064.7436523438,7340.1284179688,,,0
0.1718603000,0,327.4358825684,3030.8974609375,5628.7177734375,5856.5385742188,7758.8461914062,4853.0771484375,6970.2563476562,4394.4873046875,3053.0769042969,7883.3334960938,2336.6667480469,5502.1796875000,772.6923217773,1497.1794433594,,,0
0.1796728000,0,3155.8974609375,5758.4614257812,407.1794738770,6564.2309570312,2434.3588867188,140.3846130371,7703.4614257812,2321.6667480469,5151.2822265625,2963.4614257812,199.6153717041,8380.1279296875,5531.0258789062,8166.0258789062,,,0
0.1875292000,0,4911.1538085938,4600.2563476562,8369.7431640625,2308.0769042969,5796.5385742188,3612.4357910156,134.9999847412,6510.0000000000,6335.6411132812,1598.0769042969,3226.1538085938,1237.3077392578,606.9230957031,4680.3847656250,,,0
0.1953417000,0,5334.1025390625,8329.6152343750,3990.3845214844,4671.5385742188,300.5128173828,5346.2822265625,5712.5639648438,3049.4870605469,2731.5385742188,4080.8974609375,265.2564086914,2401.4101562500,1962.1794433594,5496.4101562500,,,0
0.2031542000,0,1980.1281738281,2655.2563476562,896.4102783203,3849.7436523438,6626.1538085938,1748.2050781250,791.7948608398,4261.7949218750,3035.5129394531,6370.0000000000,1603.7178955078,6224.4873046875,4960.0000000000,3895.8974609375,,,0
0.2109667000,0,8304.4873046875,6710.2563476562,7125.8974609375,4912.9487304688,7876.0258789062,4833.0771484375,597.8204956055,3566.1538085938,8090.0000000000,5599.1025390625,50.6410179138,1486.9230957031,7326.4101562500,3417.3076171875,,,0
0.2186790000,0,2913.0769042969,4068.2050781250,5459.3588867188,8258.9746093750,3584.8718261719,1663.5897216797,6601.6665039062,7797.5639648438,7431.7949218750,3375.7692871094,6235.8974609375,1100.1281738281,7041.2822265625,8042.3076171875,,,0
0.2264915000,0,3517.1794433594,5898.7177734375,1900.7691650391,7759.2309570312,80.7692184448,3916.9230957031,7185.0000000000,5523.2050781250,6875.1284179688,4146.1538085938,130.5128173828,2825.1281738281,7862.8203125000,7230.0000000000,,,0
0.2343040000,0,4922.0512695312,24.6153755188,78.4615325928,6198.2050781250,7603.2050781250,6703.9741210938,3849.3588867188,5298.7177734375,2718.9743652344,4331.5385742188,6.2820425034,5181.5385742188,1784.7435302734,296.7948608398,,,0
0.2421165000,0,1516.0256347656,6996.5385742188,2896.0256347656,2718.3332519531,6767.1796875000,3048.3332519531,3197.3076171875,6972.9487304688,2548.4614257812,4883.8461914062,6305.7690429688,2463.8461914062,576.0256347656,6387.6923828125,,,0
0.2498866000,0,181.2820434570,185.2564086914,5400.5126953125,4992.8203125000,2933.3332519531,2437.3076171875,6990.0000000000,6573.5898437500,5907.9487304688,3750.1281738281,7466.0258789062,5239.7436523438,4024.3588867188,5012.4360351562,,,0
0.2576991000,0,1741.0256347656,1003.2051391602,6662.4360351562,3676.2819824219,7626.9228515625,2491.4101562500,2436.2819824219,5676.5385742188,828.7179565430,2142.8205566406,6855.3847656250,3331.1538085938,2837.1794433594,2486.9230957031,,,0
0.2655116000,0,7335.2563476562,2806.2819824219,779.4871826172,816.4102783203,2538.4614257812,6143.2050781250,5775.6411132812,1485.0000000000,7938.3334960938,7627.3076171875,265.3846130371,81.6666564941,5293.2050781250,1971.7949218750,,,0
0.2733241000,0,3562.8205566406,3898.7180175781,5465.5126953125,3102.6923828125,7805.6411132812,6655.8974609375,5801.1538085938,1650.3846435547,1978.2050781250,7242.8203125000,4604.8715820312,7588.7177734375,3759.1025390625,3717.1794433594,,,0
0.2811232000,0,6291.7949218750,2536.4101562500,1011.5384521484,5704.4873046875,5475.0000000000,8008.2050781250,3589.4870605469,5370.7690429688,4596.4101562500,28.8461456299,258.9743652344,1074.7435302734,5459.1025390625,5313.8461914062,,,0
0.2889357000,0,6559.1025390625,6383.7177734375,7309.7436523438,3053.9743652344,1368.5897216797,8036.6665039062,6517.1796875000,2602.9487304688,3491.5385742188,8166.2822265625,1251.7949218750,1143.8461914062,7423.9746093750,3367.0512695312,,,0
0.2967482000,0,6942.1796875000,6568.4614257812,4106.5385742188,8175.8974609375,7140.6411132812,1779.2307128906,5633.5898437500,5391.9228515625,2161.2819824219,6400.2563476562,4087.4357910156,1355.2563476562,4348.7177734375,5939.8715820312,,,0
0.3045607000,0,1003.2051391602,887.9487304688,6238.8461914062,4395.3847656250,2211.6667480469,3322.0512695312,2757.9487304688,1763.2050781250,8238.7177734375,3702.0512695312,485.2564086914,5383.3334960938,6091.2822265625,1060.5128173828,,,0
0.3124572000,0,1371.7949218750,1430.2563476562,2217.6923828125,1263.9743652344,8007.8203125000,3273.7180175781,3567.5642089844,7272.1796875000,6226.5385742188,875.6409912109,6155.3847656250,1466.6666259766,8246.5380859375,7844.3588867188,,,0
0.3202697000,0,2479.2307128906,3777.1794433594,2650.6411132812,6464.7436523438,8017.6923828125,3384.4870605469,1204.8718261719,8067.3076171875,931.1538696289,468.8461608887,7413.0771484375,8400.1279296875,259.4871826172,3988.2050781250,,,0
0.3280822000,0,1080.3846435547,6782.1796875000,4117.8203125000,2526.4101562500,6310.8974609375,7409.8715820312,6208.2050781250,5170.3847656250,6978.0771484375,589.3589477539,4277.6923828125,168.5897369385,5480.2563476562,2243.4614257812,,,0
0.3358947000,0,1428.0769042969,4126.9228515625,243.7179412842,7287.1796875000,4287.0512695312,2567.8205566406,6230.8974609375,4335.3847656250,1653.8461914062,4306.9228515625,4014.8718261719,6350.0000000000,7178.2050781250,2850.1281738281,,,0
0.3438068000,0,0.5128115416,4919.3588867188,3816.2819824219,3669.3588867188,5436.4101562500,3157.3076171875,7176.6665039062,5646.7949218750,4995.3847656250,8072.0512695312,8280.7695312500,7253.9746093750,7650.0000000000,3471.5385742188,,,0
0.3516193000,0,1089.3590087891,5549.6152343750,7273.5898437500,4268.0771484375,5669.3588867188,7963.0771484375,4040.1281738281,5449.4873046875,7298.4614257812,8351.0253906250,8346.1542968750,1027.6922607422,3475.7692871094,5073.3334960938,,,0
0.3594318000,0,3306.4101562500,173.9743499756,437.9486999512,8001.6665039062,2008.4615478516,5552.0512695312,1267.5640869141,1537.3077392578,2950.1281738281,1997.8205566406,7707.0512695312,6710.0000000000,6216.6665039062,1982.0512695312,,,0
0.3672443000,0,359.1025695801,4379.6152343750,5598.3334960938,221.7948608398,7772.9487304688,5933.9741210938,8144.2309570312,6540.1284179688,6703.3334960938,818.5897216797,5396.7949218750,519.3589477539,2516.7949218750,3378.0769042969,,,0
0.3748544000,0,4579.6152343750,6162.5639648438,8051.6665039062,5634.6152343750,1619.8718261719,3928.4614257812,5266.1538085938,1346.2821044922,4151.4101562500,4350.7690429688,4994.7436523438,5270.5126953125,7980.8974609375,5354.7436523438,,,0
0.3826669000,0,2755.8974609375,4300.3847656250,3395.5129394531,2674.8718261719,6099.2309570312,5093.7177734375,6148.4614257812,467.5640869141,3070.8974609375,5707.5639648438,5470.7690429688,2891.1538085938,4100.7690429688,2361.4101562500,,,0
0.3904794000,0,2414.7436523438,3043.3332519531,6530.5126953125,622.8204956055,1366.5384521484,6181.6665039062,8318.2050781250,5044.7436523438,6259.2309570312,4886.2822265625,5347.3076171875,3067.1794433594,1754.7435302734,5463.7177734375,,,0
0.3982919000,0,1959.4871826172,4987.8203125000,5346.6665039062,3791.1538085938,110.8974304199,3621.4101562500,579.2307739258,1776.1538085938,5207.0512695312,3315.0000000000,4618.4614257812,977.0512695312,5781.5385742188,5040.2563476562,,,0
0.4065608000,0,1607.1794433594,5697.4360351562,8158.0771484375,4927.5639648438,6422.6923828125,3771.6667480469,500.1282043457,6776.0258789062,7085.7690429688,4875.1284179688,7567.8203125000,6934.4873046875,4439.6152343750,6091.7949218750,,,0
0.4143733000,0,500.1282043457,7818.7177734375,5503.5898437500,2160.0000000000,2557.6923828125,771.4102783203,8309.7431640625,6637.6923828125,875.0000000000,8372.5644531250,1493.0769042969,349.6153869629,1016.4102783203,6433.0771484375,,,0
0.4221858000,0,3628.9743652344,6541.0258789062,3848.4614257812,390.6410217285,6880.1284179688,5421.0258789062,3512.8205566406,4798.2050781250,4765.2563476562,8066.7949218750,4735.0000000000,5781.0258789062,135.1281890869,3565.8974609375,3,0.4227405000,0
0.4299983000,0,6814.8715820312,8277.4355468750,6538.9741210938,4388.7177734375,5651.0258789062,7017.4360351562,8344.7431640625,6555.6411132812,4175.5126953125,5461.1538085938,5268.5898437500,6251.1538085938,7341.9228515625,3525.0000000000,,,0
0.4374621000,0,2530.6411132812,614.7435913086,7013.7177734375,4028.4614257812,5652.1796875000,485.3846130371,7705.5126953125,4447.0512695312,8134.4873046875,4930.7690429688,1570.3846435547,5312.9487304688,445.7692260742,7958.5898437500,,,0
0.4452746000,0,4766.1538085938,6094.4873046875,2255.5126953125,7230.5126953125,7399.1025390625,6790.6411132812,6489.1025390625,7384.7436523438,2865.0000000000,5468.5898437500,2435.8974609375,3255.7692871094,420.2564086914,19.4871711731,,,0
0.4530871000,0,6632.4360351562,999.1025390625,1543.7178955078,1526.4102783203,470.0000000000,7623.2050781250,7840.3847656250,6170.1284179688,4276.6665039062,61.9230690002,49.3589668274,3409.1025390625,608.2051391602,2959.6154785156,,,0
0.4608996000,0,4776.7949218750,7234.6152343750,5796.2822265625,6645.7690429688,5495.7690429688,2120.7692871094,2883.2050781250,6406.2822265625,7541.6665039062,4399.2309570312,1526.4102783203,7397.5639648438,4283.2050781250,3141.4101562500,,,0
0.4688321000,0,5924.8715820312,160.5128173828,1509.7435302734,6912.6923828125,1509.6153564453,7875.0000000000,3333.0769042969,3285.6411132812,6647.1796875000,4150.5126953125,1272.5640869141,232.5640869141,2321.0256347656,3341.7949218750,,,0
0.4766446000,0,4294.8715820312,3656.6667480469,2507.9487304688,2314.6154785156,868.4615478516,2541.5385742188,1041.6666259766,7729.6152343750,7457.0512695312,1424.8718261719,2974.6154785156,3249.4870605469,5232.4360351562,2351.1538085938,,,0
0.4844571000,0,5110.3847656250,814.6153564453,1367.5640869141,1977.3077392578,1842.6922607422,5530.1284179688,6338.0771484375,7988.8461914062,5133.9741210938,4993.0771484375,1256.7949218750,705.0000000000,3100.1281738281,3561.6667480469,,,0
0.4922696000,0,5228.7177734375,5054.8715820312,4249.8715820312,7808.7177734375,1223.5897216797,5527.9487304688,6116.4101562500,7447.0512695312,1383.8461914062,6069.6152343750,4883.9741210938,6228.4614257812,1867.5640869141,6794.1025390625,,,0
0.4999584000,0,7133.3334960938,1190.5128173828,1282.6922607422,4187.5639648438,548.7179565430,5594.6152343750,5914.3588867188,5018.4614257812,2817.5642089844,6822.3076171875,4646.4101562500,3836.6667480469,798.7179565430,1911.7949218750,,,0
0.5077709000,0,3045.6411132812,7898.5898437500,7846.1538085938,4644.6152343750,8087.5639648438,5904.7436523438,3274.3588867188,6501.9228515625,309.6153869629,6500.1284179688,2890.6411132812,3272.1794433594,8382.0517578125,5617.9487304688,,,0
0.5155834000,0,1435.6409912109,750.0000000000,6440.6411132812,4818.3334960938,4905.3847656250,2125.2563476562,5875.0000000000,7605.6411132812,827.5640869141,4288.0771484375,7041.6665039062,6680.7690429688,3520.3845214844,8203.7177734375,,,0
0.5233959000,0,2897.4357910156,6581.0258789062,2572.9487304688,6921.4101562500,2652.3076171875,1504.3590087891,3655.0000000000,2738.2050781250,2918.4614257812,3706.0256347656,4797.1796875000,4904.2309570312,2139.8718261719,5370.6411132812,,,0
0.5311485000,0,1445.0000000000,7556.5385742188,8053.9746093750,6400.5126953125,2353.5898437500,7237.1796875000,4936.2822265625,1032.9487304688,4144.7436523438,7692.9487304688,6972.9487304688,6172.6923828125,7022.4360351562,2122.5642089844,,,0
0.5389610000,0,3675.2563476562,4760.1284179688,2540.7692871094,5273.7177734375,3780.2563476562,1430.5128173828,6054.7436523438,3477.8205566406,7913.0771484375,1321.5384521484,327.8204956055,2567.4357910156,722.6923217773,7311.6665039062,,,0
0.5467735000,0,1371.1538085938,4252.5639648438,6327.8203125000,6967.3076171875,4086.1538085938,7987.8203125000,1517.5640869141,823.9743652344,1005.1281738281,2839.8718261719,602.4359130859,2964.7436523438,7856.4101562500,7928.8461914062,,,0
0.5545860000,0,4855.0000000000,3545.5129394531,3542.0512695312,7818.0771484375,4889.4873046875,7584.6152343750,7790.0000000000,818.9743652344,3256.4101562500,1848.8461914062,6718.2050781250,4018.9743652344,2376.7949218750,8245.7695312500,,,0
0.5642985000,0,1424.8718261719,289.8717956543,6886.1538085938,4221.0258789062,1681.4102783203,4248.9741210938,725.7692260742,7900.8974609375,479.3589782715,2246.6667480469,4811.9228515625,7731.0258789062,4544.6152343750,7950.2563476562,,,0
0.5721110000,0,4379.1025390625,5418.2050781250,489.1025695801,3670.3845214844,498.4615173340,4351.7949218750,2313.2050781250,4146.4101562500,7828.5898437500,7470.2563476562,7932.5639648438,5242.1796875000,2975.2563476562,3002.1794433594,,,0
0.5799235000,0,2482.3076171875,3390.7692871094,6176.5385742188,345.6410217285,8281.4101562500,6941.4101562500,54.2307586670,7911.1538085938,2330.3845214844,6890.0000000000,8024.7436523438,4182.6923828125,6307.4360351562,4927.4360351562,,,0
0.5877360000,0,2330.3845214844,6368.3334960938,2380.3845214844,6932.8203125000,6071.9228515625,598.5897216797,2819.7436523438,6640.6411132812,4481.7949218750,8280.1279296875,7716.6665039062,3203.4614257812,7455.6411132812,518.2051391602,,,0
0.5945944000,0,4578.0771484375,4416.5385742188,501.0256347656,5755.2563476562,7211.0258789062,5753.5898437500,7529.2309570312,2187.0512695312,6408.3334960938,698.7179565430,3695.8974609375,2698.3332519531,3203.4614257812,6572.0512695312,,,0
